GradorPost,Relationship,Age,days_enrolled,kidsteenHome,Income,Total_Spent,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedOffers,cluster
PostGrad Degree,Single,53,522,1,64325.0,1307,18,72.6,7,27.8,0,1
Undergrad Degree,Single,61,400,1,40464.0,630,18,35.0,8,33.3,0,3
Undergrad Degree,Relationship,57,578,0,62187.0,1283,17,75.5,3,5.9,0,1
PostGrad Degree,Single,38,667,1,14849.0,65,6,10.8,8,50.0,0,0
Undergrad Degree,Relationship,30,513,1,27255.0,37,4,9.2,7,25.0,0,0
PostGrad Degree,Relationship,64,457,3,54432.0,38,4,9.5,4,25.0,0,2
PostGrad Degree,Single,28,661,1,29999.0,160,8,20.0,8,50.0,0,0
Undergrad Degree,Single,31,599,1,24072.0,23,3,7.7,8,33.3,0,0
PostGrad Degree,Single,25,392,0,33996.0,71,5,14.2,4,20.0,0,2
PostGrad Degree,Relationship,58,642,1,66334.0,1161,17,68.3,5,11.8,1,1
PostGrad Degree,Relationship,43,431,1,35178.0,59,4,14.8,7,25.0,2,2
Undergrad Degree,Relationship,31,524,1,22010.0,33,5,6.6,8,40.0,0,0
Undergrad Degree,Single,54,727,2,62204.0,946,21,45.0,3,4.8,0,3
Undergrad Degree,Single,46,907,0,75693.0,1442,21,68.7,4,4.8,4,1
Undergrad Degree,Relationship,42,725,1,30675.0,62,4,15.5,8,25.0,0,0
Undergrad Degree,Relationship,49,643,0,83003.0,1674,21,79.7,3,4.8,2,1
PostGrad Degree,Relationship,115,436,0,83532.0,1853,14,132.4,1,7.1,1,1
Undergrad Degree,Single,26,789,0,68655.0,1538,20,76.9,3,5.0,0,1
Undergrad Degree,Single,28,512,0,41411.0,139,7,19.9,6,14.3,0,0
PostGrad Degree,Relationship,45,743,1,55212.0,1182,17,69.5,8,17.6,2,1
PostGrad Degree,Relationship,64,541,1,59292.0,507,16,31.7,3,12.5,0,3
Undergrad Degree,Relationship,41,478,1,27190.0,18,3,6.0,8,33.3,2,2
Undergrad Degree,Single,62,421,0,82623.0,940,15,62.7,1,6.7,0,3
Undergrad Degree,Relationship,49,531,2,44300.0,42,4,10.5,6,50.0,0,0
Undergrad Degree,Single,44,173,0,84835.0,1190,14,85.0,1,7.1,1,1
Undergrad Degree,Single,43,711,2,30372.0,44,5,8.8,7,60.0,0,0
PostGrad Degree,Relationship,38,280,1,33181.0,16,3,5.3,6,33.3,1,2
Undergrad Degree,Relationship,57,354,1,71113.0,835,22,38.0,4,18.2,0,3
Undergrad Degree,Relationship,28,431,1,71952.0,1443,20,72.2,4,10.0,2,1
PostGrad Degree,Single,48,404,0,69759.0,1029,15,68.6,3,20.0,1,1
Undergrad Degree,Relationship,40,770,0,72099.0,1188,17,69.9,1,5.9,0,1
PostGrad Degree,Single,38,714,1,60000.0,1277,19,67.2,6,26.3,0,1
Undergrad Degree,Single,36,372,2,38643.0,49,5,9.8,7,40.0,0,2
Undergrad Degree,Relationship,59,396,1,50737.0,99,6,16.5,6,16.7,1,2
PostGrad Degree,Relationship,45,724,0,68462.0,1670,14,119.3,1,7.1,0,1
PostGrad Degree,Relationship,71,473,0,65073.0,900,13,69.2,2,7.7,0,1
PostGrad Degree,Relationship,66,483,2,46681.0,425,14,30.4,5,14.3,0,3
Undergrad Degree,Relationship,57,799,0,78618.0,2153,21,102.5,2,4.8,1,1
PostGrad Degree,Single,45,259,1,62187.0,636,18,35.3,4,16.7,0,3
Undergrad Degree,Relationship,36,285,2,28442.0,57,7,8.1,4,42.9,0,2
PostGrad Degree,Relationship,36,743,1,37717.0,25,3,8.3,9,33.3,0,0
Undergrad Degree,Relationship,47,708,2,51479.0,494,15,32.9,7,46.7,0,3
Undergrad Degree,Single,45,837,1,54803.0,693,17,40.8,4,11.8,0,3
Undergrad Degree,Relationship,54,568,0,79530.0,1348,25,53.9,2,4.0,0,3
Undergrad Degree,Single,38,630,1,31615.0,51,5,10.2,7,40.0,0,0
Undergrad Degree,Relationship,52,749,0,72025.0,1932,15,128.8,3,6.7,0,1
PostGrad Degree,Single,39,1059,1,52614.0,990,14,70.7,8,14.3,0,1
PostGrad Degree,Relationship,30,228,1,35684.0,30,4,7.5,6,25.0,0,2
Undergrad Degree,Relationship,39,769,2,48178.0,254,10,25.4,8,60.0,0,0
PostGrad Degree,Single,44,464,1,29548.0,29,4,7.2,4,25.0,1,2
Undergrad Degree,Single,48,755,1,63810.0,1371,19,72.2,8,21.1,1,1
PostGrad Degree,Single,42,532,2,38578.0,73,6,12.2,8,50.0,1,0
PostGrad Degree,Single,39,840,2,46098.0,120,7,17.1,8,57.1,0,0
Undergrad Degree,Single,44,628,0,22585.0,81,4,20.2,9,25.0,2,0
Undergrad Degree,Single,25,706,1,30279.0,37,4,9.2,8,25.0,0,0
PostGrad Degree,Relationship,53,664,1,66426.0,1377,18,76.5,6,11.1,0,1
Undergrad Degree,Single,45,540,1,30822.0,51,4,12.8,7,25.0,0,0
PostGrad Degree,Relationship,45,492,2,33581.0,17,3,5.7,8,33.3,0,2
Undergrad Degree,Relationship,29,387,1,19986.0,22,3,7.3,7,33.3,0,2
Undergrad Degree,Single,60,724,0,27421.0,324,11,29.5,7,27.3,0,0
PostGrad Degree,Relationship,41,836,3,35688.0,211,9,23.4,8,77.8,0,0
PostGrad Degree,Single,33,251,1,36143.0,19,3,6.3,3,33.3,0,2
Undergrad Degree,Single,43,570,1,10245.0,41,5,8.2,5,60.0,0,0
PostGrad Degree,Relationship,46,416,1,43795.0,492,14,35.1,7,21.4,2,3
Undergrad Degree,Relationship,54,940,1,63381.0,1005,22,45.7,2,18.2,0,3
Undergrad Degree,Relationship,65,828,1,38823.0,114,6,19.0,6,16.7,0,0
PostGrad Degree,Single,46,488,2,83664.0,1173,16,73.3,5,18.8,0,1
Undergrad Degree,Relationship,35,280,0,90300.0,1738,19,91.5,1,0.0,1,1
PostGrad Degree,Relationship,35,450,1,62499.0,222,10,22.2,4,20.0,0,2
Undergrad Degree,Single,21,245,0,74293.0,1127,15,75.1,2,6.7,0,1
PostGrad Degree,Relationship,68,597,0,51012.0,209,9,23.2,6,11.1,0,0
PostGrad Degree,Relationship,46,284,1,70777.0,787,20,39.4,3,15.0,0,3
PostGrad Degree,Relationship,23,544,0,68682.0,1598,23,69.5,2,4.3,0,1
Undergrad Degree,Relationship,43,812,2,43824.0,186,8,23.2,8,50.0,0,0
Undergrad Degree,Relationship,30,827,1,15345.0,47,4,11.8,8,50.0,1,0
Undergrad Degree,Single,27,712,1,23442.0,27,4,6.8,7,25.0,0,0
PostGrad Degree,Relationship,34,816,1,14515.0,96,7,13.7,7,57.1,1,0
PostGrad Degree,Single,58,623,2,31395.0,64,6,10.7,6,66.7,0,0
Undergrad Degree,Relationship,49,800,0,75276.0,1040,22,47.3,5,4.5,0,3
Undergrad Degree,Single,40,478,2,42373.0,163,8,20.4,5,62.5,0,2
Undergrad Degree,Relationship,54,398,0,30507.0,343,10,34.3,7,10.0,0,2
PostGrad Degree,Single,59,410,3,55521.0,446,15,29.7,7,60.0,2,3
Undergrad Degree,Relationship,49,91,2,48006.0,41,4,10.2,6,25.0,0,2
PostGrad Degree,Single,42,828,1,27213.0,70,6,11.7,8,50.0,1,0
PostGrad Degree,Single,43,190,2,65808.0,272,11,24.7,6,27.3,0,2
PostGrad Degree,Relationship,40,548,1,30351.0,46,5,9.2,9,20.0,0,0
Undergrad Degree,Relationship,51,780,2,50437.0,490,16,30.6,7,18.8,0,3
PostGrad Degree,Single,32,749,1,23616.0,79,6,13.2,8,33.3,1,0
Undergrad Degree,Relationship,38,816,1,53858.0,915,13,70.4,4,30.8,0,1
PostGrad Degree,Relationship,59,616,1,66465.0,1485,32,46.4,6,9.4,1,3
Undergrad Degree,Single,27,836,1,46923.0,369,13,28.4,7,23.1,0,0
Undergrad Degree,Relationship,52,682,1,75072.0,1073,17,63.1,3,11.8,0,3
PostGrad Degree,Relationship,71,250,0,75865.0,1242,18,69.0,1,5.6,0,1
PostGrad Degree,Relationship,39,381,1,19789.0,78,6,13.0,5,50.0,1,2
Undergrad Degree,Relationship,20,295,0,80134.0,1378,20,68.9,5,5.0,4,1
Undergrad Degree,Single,33,652,0,91065.0,1474,25,59.0,3,4.0,3,1
PostGrad Degree,Relationship,43,582,2,49505.0,751,20,37.6,8,45.0,0,3
PostGrad Degree,Relationship,41,184,1,37401.0,48,5,9.6,7,40.0,0,2
Undergrad Degree,Relationship,31,198,1,30096.0,45,5,9.0,6,20.0,0,2
PostGrad Degree,Relationship,32,214,1,18492.0,10,3,3.3,8,33.3,0,2
PostGrad Degree,Relationship,40,609,0,82584.0,1435,15,95.7,1,6.7,3,1
PostGrad Degree,Relationship,73,602,0,93027.0,2119,22,96.3,2,0.0,1,1
Undergrad Degree,Relationship,61,603,3,48686.0,20,3,6.7,8,33.3,0,0
Undergrad Degree,Relationship,28,226,0,92910.0,1795,26,69.0,1,3.8,3,1
Undergrad Degree,Relationship,25,216,1,75433.0,1188,17,69.9,6,11.8,2,1
PostGrad Degree,Relationship,25,245,1,10404.0,43,5,8.6,5,40.0,0,2
Undergrad Degree,Relationship,46,590,1,61314.0,1008,22,45.8,3,9.1,0,3
PostGrad Degree,Single,53,457,0,84865.0,1688,15,112.5,4,6.7,5,1
Undergrad Degree,Relationship,25,768,1,42387.0,684,16,42.8,8,31.2,0,3
PostGrad Degree,Relationship,47,682,2,67309.0,1082,24,45.1,7,62.5,0,3
Undergrad Degree,Relationship,50,376,1,75236.0,1068,24,44.5,4,4.2,0,3
Undergrad Degree,Single,44,307,1,30015.0,57,5,11.4,5,40.0,0,2
PostGrad Degree,Relationship,58,533,1,50943.0,46,4,11.5,5,25.0,0,0
Undergrad Degree,Single,48,350,1,67272.0,733,20,36.6,5,15.0,0,3
PostGrad Degree,Single,65,515,1,51529.0,467,15,31.1,8,13.3,0,3
PostGrad Degree,Relationship,43,471,1,32011.0,122,7,17.4,7,42.9,0,2
PostGrad Degree,Relationship,28,522,1,7500.0,36,5,7.2,8,40.0,0,0
Undergrad Degree,Relationship,25,608,1,28691.0,34,4,8.5,8,25.0,0,0
PostGrad Degree,Relationship,66,351,1,56223.0,156,8,19.5,4,25.0,0,2
Undergrad Degree,Relationship,68,546,0,18100.0,14,3,4.7,5,33.3,0,0
Undergrad Degree,Single,25,706,1,30279.0,37,4,9.2,8,25.0,0,0
PostGrad Degree,Relationship,40,264,0,20130.0,34,4,8.5,8,25.0,0,2
Undergrad Degree,Single,55,511,0,23295.0,20,3,6.7,8,33.3,0,0
PostGrad Degree,Single,42,452,1,42618.0,192,9,21.3,8,22.2,0,2
Undergrad Degree,Single,50,342,0,81246.0,1379,16,86.2,1,6.2,2,1
Undergrad Degree,Relationship,38,456,1,24027.0,48,5,9.6,8,40.0,0,2
PostGrad Degree,Relationship,61,349,1,55707.0,428,14,30.6,3,14.3,0,2
Undergrad Degree,Single,59,669,1,57959.0,868,22,39.5,3,22.7,0,3
Undergrad Degree,Relationship,45,658,1,56796.0,1001,24,41.7,7,12.5,0,3
PostGrad Degree,Single,43,415,1,36230.0,59,6,9.8,5,16.7,0,2
PostGrad Degree,Relationship,34,693,2,70829.0,431,14,30.8,3,14.3,0,0
Undergrad Degree,Relationship,38,880,1,65991.0,971,24,40.5,7,12.5,0,3
Undergrad Degree,Relationship,42,838,3,38988.0,348,12,29.0,8,58.3,0,0
PostGrad Degree,Single,48,812,0,89572.0,2059,23,89.5,4,4.3,3,1
PostGrad Degree,Relationship,30,701,1,42207.0,265,10,26.5,6,40.0,2,0
Undergrad Degree,Relationship,62,195,1,50300.0,270,11,24.5,2,18.2,0,2
PostGrad Degree,Relationship,32,802,0,66664.0,1289,18,71.6,3,5.6,0,1
Undergrad Degree,Relationship,50,339,1,60597.0,893,12,74.4,7,33.3,2,1
Undergrad Degree,Single,65,440,0,70165.0,926,21,44.1,1,4.8,0,3
PostGrad Degree,Single,56,312,1,50520.0,135,7,19.3,6,28.6,0,2
Undergrad Degree,Relationship,51,163,0,80124.0,1495,18,83.1,1,5.6,1,1
Undergrad Degree,Relationship,39,285,1,33183.0,120,7,17.1,7,28.6,0,2
PostGrad Degree,Single,45,278,0,66582.0,1288,19,67.8,1,5.3,0,1
PostGrad Degree,Relationship,59,592,0,75261.0,1743,16,108.9,2,6.2,3,1
Undergrad Degree,Single,44,766,1,31880.0,15,3,5.0,8,33.3,0,0
Undergrad Degree,Relationship,63,186,2,53790.0,542,17,31.9,6,17.6,0,3
PostGrad Degree,Relationship,43,843,1,49269.0,890,22,40.5,7,13.6,0,3
Undergrad Degree,Relationship,39,619,1,61456.0,1388,29,47.9,4,13.8,0,3
Undergrad Degree,Relationship,34,422,1,37406.0,17,3,5.7,8,33.3,1,2
PostGrad Degree,Relationship,33,972,1,56937.0,906,23,39.4,6,30.4,2,3
Undergrad Degree,Relationship,36,673,2,38415.0,44,4,11.0,7,50.0,0,0
Undergrad Degree,Single,26,202,1,20518.0,25,4,6.2,5,25.0,0,2
Undergrad Degree,Relationship,58,656,1,62503.0,973,22,44.2,5,18.2,0,3
PostGrad Degree,Single,42,92,2,41644.0,31,4,7.8,3,50.0,0,2
PostGrad Degree,Relationship,37,197,1,55842.0,518,16,32.4,5,6.2,0,2
PostGrad Degree,Relationship,42,774,1,62010.0,530,15,35.3,5,26.7,0,3
Undergrad Degree,Relationship,37,766,1,41124.0,506,14,36.1,8,50.0,0,0
PostGrad Degree,Relationship,41,341,1,38961.0,70,5,14.0,7,20.0,0,2
PostGrad Degree,Single,42,393,1,37760.0,54,5,10.8,6,20.0,0,2
Undergrad Degree,Single,40,839,1,32233.0,296,10,29.6,9,20.0,2,0
Undergrad Degree,Relationship,39,402,1,43057.0,266,11,24.2,5,36.4,0,2
PostGrad Degree,Relationship,54,787,0,83151.0,747,18,41.5,3,5.6,0,3
PostGrad Degree,Single,50,813,0,78825.0,895,28,32.0,3,3.6,1,3
PostGrad Degree,Relationship,38,387,1,65104.0,1053,15,70.2,7,13.3,0,1
Undergrad Degree,Relationship,40,528,1,60093.0,735,19,38.7,6,10.5,0,3
Undergrad Degree,Relationship,45,314,1,14045.0,20,4,5.0,7,25.0,0,2
PostGrad Degree,Single,62,769,0,28457.0,205,9,22.8,8,11.1,0,0
PostGrad Degree,Relationship,56,803,1,78952.0,2092,19,110.1,6,10.5,0,1
Undergrad Degree,Single,38,999,1,46310.0,309,12,25.8,8,16.7,0,0
Undergrad Degree,Relationship,59,652,0,76005.0,1722,21,82.0,6,4.8,1,1
PostGrad Degree,Single,50,370,1,58308.0,900,11,81.8,8,36.4,0,1
PostGrad Degree,Single,70,374,0,55614.0,682,19,35.9,7,5.3,1,3
PostGrad Degree,Single,52,602,1,59432.0,663,19,34.9,5,15.8,0,3
Undergrad Degree,Single,36,216,1,55563.0,43,5,8.6,3,20.0,0,2
PostGrad Degree,Relationship,43,594,1,78642.0,1816,17,106.8,6,5.9,0,1
PostGrad Degree,Relationship,65,198,1,67911.0,976,24,40.7,3,12.5,0,3
Undergrad Degree,Relationship,70,642,0,65275.0,746,20,37.3,2,5.0,0,3
Undergrad Degree,Relationship,64,911,2,27203.0,64,4,16.0,8,50.0,0,0
PostGrad Degree,Relationship,53,386,1,48330.0,32,4,8.0,5,25.0,0,2
Undergrad Degree,Relationship,24,707,0,24279.0,263,8,32.9,8,12.5,0,0
PostGrad Degree,Relationship,29,834,1,64355.0,1445,19,76.1,8,10.5,0,1
PostGrad Degree,Relationship,58,533,1,50943.0,46,4,11.5,5,25.0,0,0
Undergrad Degree,Single,61,878,0,53653.0,1210,26,46.5,6,7.7,0,3
Undergrad Degree,Relationship,38,662,1,65665.0,945,23,41.1,3,4.3,0,3
Undergrad Degree,Single,25,505,0,81217.0,1157,21,55.1,1,4.8,0,3
Undergrad Degree,Relationship,22,533,0,34935.0,137,7,19.6,7,14.3,0,0
Undergrad Degree,Single,55,720,1,61250.0,730,19,38.4,5,31.6,0,3
PostGrad Degree,Relationship,33,560,1,39665.0,216,9,24.0,7,33.3,1,0
Undergrad Degree,Single,35,618,1,60152.0,943,22,42.9,3,4.5,0,3
Undergrad Degree,Relationship,50,412,2,48920.0,347,13,26.7,7,23.1,1,2
PostGrad Degree,Relationship,55,264,0,89120.0,1924,18,106.9,1,5.6,1,1
PostGrad Degree,Relationship,68,396,1,44124.0,397,13,30.5,8,30.8,0,2
PostGrad Degree,Single,39,601,0,81169.0,2089,21,99.5,2,4.8,0,1
Undergrad Degree,Relationship,53,644,2,36443.0,138,7,19.7,8,57.1,0,0
Undergrad Degree,Single,24,524,1,26095.0,42,4,10.5,7,25.0,0,0
Undergrad Degree,Relationship,55,470,0,71367.0,777,16,48.6,2,6.2,0,3
PostGrad Degree,Relationship,70,337,0,80184.0,1902,19,100.1,3,5.3,2,1
Undergrad Degree,Single,49,313,2,30630.0,52,5,10.4,7,40.0,0,2
PostGrad Degree,Single,27,337,0,73454.0,1651,12,137.6,5,8.3,1,1
Undergrad Degree,Relationship,23,477,0,42691.0,358,12,29.8,5,8.3,0,2
Undergrad Degree,Relationship,61,797,0,70503.0,1727,15,115.1,6,6.7,2,1
Undergrad Degree,Relationship,27,849,1,25545.0,210,7,30.0,6,42.9,1,0
Undergrad Degree,Relationship,28,968,1,32880.0,42,4,10.5,8,25.0,0,0
PostGrad Degree,Relationship,56,374,0,77863.0,1291,19,67.9,2,5.3,0,1
PostGrad Degree,Relationship,37,122,0,50353.0,442,14,31.6,3,7.1,0,2
Undergrad Degree,Single,50,728,0,61839.0,1895,16,118.4,8,6.2,0,1
PostGrad Degree,Relationship,54,635,2,49154.0,411,13,31.6,6,46.2,0,0
PostGrad Degree,Single,39,659,1,47682.0,521,15,34.7,5,26.7,0,3
Undergrad Degree,Single,45,444,1,72679.0,1168,16,73.0,1,6.2,0,1
PostGrad Degree,Relationship,37,171,2,57954.0,493,16,30.8,7,43.8,1,2
Undergrad Degree,Relationship,52,591,2,65316.0,260,10,26.0,4,20.0,0,0
Undergrad Degree,Single,32,537,1,28567.0,46,5,9.2,6,40.0,0,0
PostGrad Degree,Relationship,63,397,1,47352.0,319,12,26.6,7,33.3,0,2
Undergrad Degree,Relationship,47,322,1,44931.0,96,6,16.0,5,16.7,0,2
Undergrad Degree,Single,47,294,0,76982.0,1062,15,70.8,4,6.7,2,1
PostGrad Degree,Relationship,62,485,1,57247.0,232,10,23.2,2,20.0,0,2
PostGrad Degree,Single,33,348,1,22944.0,76,6,12.7,7,50.0,0,2
PostGrad Degree,Relationship,37,513,1,25315.0,54,6,9.0,8,50.0,0,0
Undergrad Degree,Single,45,911,1,43638.0,201,9,22.3,7,22.2,0,0
PostGrad Degree,Single,30,738,1,42710.0,406,12,33.8,6,16.7,0,0
PostGrad Degree,Relationship,32,516,0,84169.0,1919,19,101.0,3,5.3,3,1
Undergrad Degree,Relationship,38,609,1,54058.0,662,18,36.8,3,11.1,0,3
PostGrad Degree,Relationship,24,125,1,24683.0,41,6,6.8,5,33.3,0,2
Undergrad Degree,Single,50,158,0,85620.0,1600,13,123.1,1,7.7,1,1
Undergrad Degree,Relationship,34,634,1,47850.0,134,7,19.1,6,14.3,0,0
Undergrad Degree,Relationship,46,314,2,19514.0,69,6,11.5,8,66.7,2,2
PostGrad Degree,Relationship,41,252,2,27159.0,21,4,5.2,6,50.0,0,2
PostGrad Degree,Single,51,250,2,39548.0,54,5,10.8,3,40.0,0,2
Undergrad Degree,Single,25,124,1,21474.0,91,6,15.2,7,33.3,2,2
PostGrad Degree,Single,43,157,1,60504.0,526,16,32.9,6,12.5,0,2
Undergrad Degree,Relationship,51,597,0,22419.0,162,7,23.1,8,14.3,0,0
PostGrad Degree,Relationship,65,543,0,81698.0,1008,24,42.0,1,4.2,1,3
Undergrad Degree,Relationship,62,727,2,43462.0,240,10,24.0,8,60.0,0,0
PostGrad Degree,Single,36,702,1,54880.0,795,19,41.8,5,10.5,0,3
Undergrad Degree,Relationship,32,581,0,79908.0,1772,18,98.4,2,5.6,1,1
PostGrad Degree,Relationship,44,638,0,15315.0,64,6,10.7,5,33.3,0,0
Undergrad Degree,Relationship,55,563,1,87771.0,1957,19,103.0,6,5.3,5,1
Undergrad Degree,Relationship,36,453,1,33039.0,78,6,13.0,5,16.7,0,2
Undergrad Degree,Single,34,538,0,81741.0,1572,19,82.7,2,0.0,0,1
PostGrad Degree,Relationship,43,529,1,71499.0,795,24,33.1,4,8.3,0,3
PostGrad Degree,Relationship,44,325,1,62466.0,889,21,42.3,4,23.8,0,3
PostGrad Degree,Single,51,574,1,48799.0,331,12,27.6,3,25.0,0,0
PostGrad Degree,Relationship,64,153,1,52157.0,265,10,26.5,4,20.0,0,2
Undergrad Degree,Single,52,938,1,66565.0,1065,15,71.0,8,26.7,0,1
PostGrad Degree,Relationship,63,515,2,29298.0,11,3,3.7,5,33.3,0,0
Undergrad Degree,Single,35,578,1,47691.0,21,3,7.0,6,33.3,0,0
Undergrad Degree,Relationship,44,877,2,38200.0,17,3,5.7,7,33.3,0,0
Undergrad Degree,Relationship,40,727,1,44989.0,369,11,33.5,6,45.5,0,0
PostGrad Degree,Relationship,46,313,2,38443.0,38,4,9.5,7,50.0,0,2
PostGrad Degree,Single,36,449,1,38593.0,177,8,22.1,8,37.5,0,2
PostGrad Degree,Relationship,44,697,1,64413.0,279,11,25.4,5,9.1,0,0
PostGrad Degree,Relationship,33,664,1,36959.0,62,5,12.4,8,40.0,0,0
PostGrad Degree,Relationship,37,674,1,61996.0,1230,18,68.3,5,16.7,4,1
Undergrad Degree,Relationship,46,336,2,51287.0,182,8,22.8,7,37.5,0,2
Undergrad Degree,Relationship,44,470,2,13260.0,49,6,8.2,8,66.7,0,2
PostGrad Degree,Relationship,48,446,2,47472.0,75,6,12.5,5,33.3,0,2
PostGrad Degree,Relationship,58,455,2,54603.0,227,10,22.7,7,60.0,0,2
PostGrad Degree,Relationship,40,786,2,45207.0,215,10,21.5,6,50.0,1,0
Undergrad Degree,Relationship,63,628,1,40689.0,444,13,34.2,8,53.8,0,0
PostGrad Degree,Relationship,47,412,2,47821.0,47,4,11.8,8,25.0,0,2
PostGrad Degree,Relationship,63,600,0,27450.0,143,6,23.8,7,16.7,0,0
Undergrad Degree,Relationship,31,277,1,39453.0,55,5,11.0,6,40.0,0,2
PostGrad Degree,Relationship,43,232,2,26850.0,63,7,9.0,4,57.1,0,2
Undergrad Degree,Single,59,804,0,79800.0,1867,21,88.9,3,4.8,4,1
PostGrad Degree,Relationship,53,448,1,61794.0,611,18,33.9,2,11.1,0,3
Undergrad Degree,Relationship,59,203,1,53863.0,473,15,31.5,7,20.0,1,2
Undergrad Degree,Relationship,55,473,0,24221.0,55,5,11.0,4,20.0,0,2
PostGrad Degree,Single,30,726,1,39684.0,81,5,16.2,7,40.0,1,0
PostGrad Degree,Relationship,39,724,0,92163.0,2086,21,99.3,2,0.0,3,1
PostGrad Degree,Single,49,421,0,69882.0,1478,19,77.8,1,5.3,0,1
Undergrad Degree,Relationship,37,310,1,33178.0,49,4,12.2,4,25.0,0,2
PostGrad Degree,Relationship,42,392,0,59973.0,382,14,27.3,1,7.1,0,2
PostGrad Degree,Relationship,39,443,1,17459.0,69,6,11.5,7,50.0,1,2
Undergrad Degree,Single,45,771,1,23910.0,67,5,13.4,7,20.0,0,0
PostGrad Degree,Relationship,45,413,2,42169.0,30,4,7.5,8,50.0,0,2
PostGrad Degree,Relationship,36,609,1,26224.0,63,6,10.5,6,50.0,0,0
Undergrad Degree,Relationship,33,841,1,31089.0,79,7,11.3,8,42.9,0,0
Undergrad Degree,Single,53,653,1,30081.0,42,4,10.5,7,25.0,0,0
Undergrad Degree,Relationship,54,827,1,62807.0,819,20,41.0,5,15.0,0,3
Undergrad Degree,Single,59,445,0,72906.0,1151,16,71.9,1,6.2,0,1
PostGrad Degree,Relationship,66,815,2,61467.0,594,17,34.9,5,17.6,0,3
PostGrad Degree,Relationship,48,679,2,49618.0,129,7,18.4,7,57.1,0,0
PostGrad Degree,Single,28,707,1,21888.0,213,8,26.6,10,50.0,1,0
Undergrad Degree,Single,41,34,1,42429.0,67,5,13.4,5,40.0,0,2
Undergrad Degree,Single,58,398,3,26150.0,28,4,7.0,7,25.0,0,2
Undergrad Degree,Relationship,39,771,1,30801.0,45,4,11.2,7,50.0,0,0
Undergrad Degree,Relationship,49,154,0,81168.0,1193,17,70.2,3,5.9,1,1
PostGrad Degree,Single,45,474,0,26877.0,268,10,26.8,6,20.0,0,2
PostGrad Degree,Single,70,506,0,45006.0,266,11,24.2,3,9.1,0,0
Undergrad Degree,Relationship,41,754,1,18978.0,37,4,9.2,8,25.0,0,0
Undergrad Degree,Relationship,47,404,3,22574.0,37,5,7.4,7,40.0,0,2
PostGrad Degree,Single,45,816,0,48240.0,882,22,40.1,5,13.6,1,3
Undergrad Degree,Relationship,40,498,2,45837.0,373,13,28.7,7,38.5,0,0
PostGrad Degree,Single,49,549,3,35791.0,35,4,8.8,8,50.0,0,0
PostGrad Degree,Relationship,38,640,2,115000.0,107,1,107.0,1,0.0,0,0
Undergrad Degree,Single,36,628,2,54162.0,42,4,10.5,4,25.0,0,0
PostGrad Degree,Relationship,54,841,1,30522.0,326,12,27.2,2,41.7,0,0
PostGrad Degree,Relationship,53,394,1,54456.0,404,14,28.9,6,21.4,0,2
Undergrad Degree,Single,43,510,0,31632.0,95,5,19.0,7,20.0,0,0
Undergrad Degree,Single,65,64,0,72298.0,939,13,72.2,1,7.7,2,1
PostGrad Degree,Single,36,343,1,36975.0,33,4,8.2,7,25.0,0,2
PostGrad Degree,Relationship,59,640,0,72635.0,981,20,49.0,3,5.0,1,3
Undergrad Degree,Relationship,38,685,1,13624.0,36,5,7.2,6,40.0,0,0
Undergrad Degree,Single,39,640,1,84196.0,1237,19,65.1,3,5.3,0,1
Undergrad Degree,Relationship,54,806,1,70971.0,1825,27,67.6,7,25.9,1,1
PostGrad Degree,Single,37,910,2,34487.0,103,6,17.2,9,50.0,0,0
Undergrad Degree,Single,37,718,1,28769.0,191,9,21.2,9,33.3,0,0
PostGrad Degree,Relationship,44,382,1,69084.0,1586,23,69.0,8,8.7,0,1
PostGrad Degree,Relationship,56,176,0,65488.0,963,13,74.1,1,7.7,0,1
PostGrad Degree,Relationship,44,325,1,62466.0,889,21,42.3,4,23.8,0,3
PostGrad Degree,Single,54,294,0,32218.0,93,6,15.5,7,16.7,2,2
Undergrad Degree,Single,41,597,0,83917.0,1587,20,79.4,3,5.0,1,1
Undergrad Degree,Single,52,64,3,46102.0,16,3,5.3,7,33.3,0,2
Undergrad Degree,Single,62,609,0,84574.0,1375,31,44.4,5,3.2,0,3
Undergrad Degree,Relationship,52,492,1,56181.0,393,13,30.2,4,7.7,0,3
PostGrad Degree,Single,64,799,1,63120.0,1477,21,70.3,7,23.8,1,1
Undergrad Degree,Relationship,43,543,1,73691.0,1179,16,73.7,2,12.5,1,1
Undergrad Degree,Relationship,54,940,1,63381.0,1005,22,45.7,2,18.2,0,3
PostGrad Degree,Relationship,66,207,0,76140.0,1348,20,67.4,2,5.0,0,1
PostGrad Degree,Single,55,706,1,62859.0,1307,19,68.8,6,21.1,0,1
Undergrad Degree,Single,50,519,1,45906.0,486,13,37.4,5,15.4,1,3
PostGrad Degree,Relationship,67,429,0,77632.0,2252,12,187.7,2,8.3,3,1
PostGrad Degree,Relationship,43,475,2,46463.0,235,10,23.5,6,70.0,0,2
Undergrad Degree,Relationship,44,684,0,105471.0,1724,30,57.5,3,0.0,3,1
PostGrad Degree,Single,44,358,1,55282.0,235,10,23.5,4,10.0,0,2
PostGrad Degree,Relationship,37,197,1,78710.0,1092,25,43.7,4,12.0,0,3
