,GradorPost,Relationship,Age,days,kidsteenHome,Income,MntTotal,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedCmp,Education,Marital_Status,Dt_Customer,Year_Birth,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,cluster
307,Undergrad Degree,Single,67,217,0,77457.0,1157,17,68.1,1,5.9,1,Graduation,Single,2014-05-03,1947,0,0,85,675,11,400,15,45,11,1,2,5,10,0,0,1,0,0,0,0,1
308,PostGrad Degree,Relationship,50,423,1,64100.0,546,17,32.1,7,5.9,1,Master,Married,2013-10-09,1964,0,1,93,509,0,27,0,0,10,1,8,3,6,0,1,0,0,0,0,0,3
309,PostGrad Degree,Relationship,22,588,0,42670.0,241,10,24.1,4,10.0,0,Master,Together,2013-04-27,1992,0,0,12,154,2,46,20,4,15,1,4,2,4,0,0,0,0,0,0,0,0
310,Undergrad Degree,Single,38,322,1,12571.0,53,7,7.6,6,57.1,0,Graduation,Divorced,2014-01-18,1976,1,0,86,3,5,14,2,12,17,4,3,1,3,0,0,0,0,0,0,0,2
311,Undergrad Degree,Relationship,47,404,3,22574.0,37,5,7.4,7,40.0,0,Graduation,Married,2013-10-28,1967,2,1,28,25,0,8,2,0,2,2,2,0,3,0,0,0,0,0,0,0,2
312,Undergrad Degree,Relationship,25,640,0,52247.25135379061,1611,23,70.0,3,4.3,2,Graduation,Married,2013-03-06,1989,0,0,69,861,138,461,60,30,61,1,6,5,12,0,1,0,1,0,0,0,1
313,PostGrad Degree,Single,38,552,0,70893.0,1508,22,68.5,3,4.5,0,Master,Single,2013-06-02,1976,0,0,42,768,44,561,77,44,14,1,6,6,10,0,0,0,0,0,0,0,1
314,Undergrad Degree,Relationship,48,354,2,54198.0,235,10,23.5,4,60.0,0,Graduation,Married,2013-12-17,1966,1,1,13,185,0,28,3,2,17,6,3,1,6,0,0,0,0,0,0,0,2
315,PostGrad Degree,Relationship,58,33,2,28839.0,32,5,6.4,5,40.0,0,Master,Together,2014-11-03,1956,1,1,86,24,0,7,0,0,1,2,2,0,3,0,0,0,0,0,0,0,2
316,Undergrad Degree,Relationship,42,495,2,40321.0,102,6,17.0,7,33.3,0,Graduation,Married,2013-07-29,1972,1,1,59,44,4,21,6,0,27,2,3,0,3,0,0,0,0,0,0,0,2
317,Undergrad Degree,Single,29,844,1,66503.0,401,13,30.8,3,15.4,0,Graduation,Single,2012-08-14,1985,1,0,30,91,64,128,65,3,50,2,4,3,6,0,0,0,0,0,0,0,0
318,Undergrad Degree,Relationship,63,508,2,30833.0,28,4,7.0,5,50.0,0,Graduation,Married,2013-07-16,1951,1,1,33,11,0,7,3,1,6,2,1,0,3,0,0,0,0,0,0,0,0
319,Undergrad Degree,Single,44,470,3,52247.25135379061,1052,15,70.1,7,40.0,2,Graduation,Single,2013-08-23,1970,1,2,67,738,20,172,52,50,20,6,2,3,10,0,1,0,1,0,0,0,1
320,Undergrad Degree,Relationship,43,688,1,64795.0,680,18,37.8,2,16.7,0,Graduation,Married,2013-01-17,1971,0,1,23,412,5,119,38,29,77,3,3,3,12,0,0,0,0,0,0,0,3
321,Undergrad Degree,Relationship,40,698,1,34421.0,30,3,10.0,7,33.3,0,Graduation,Married,2013-01-07,1974,1,0,81,3,3,7,6,2,9,1,1,0,2,0,0,0,0,0,0,0,0
322,PostGrad Degree,Single,49,95,2,47025.0,20,3,6.7,7,33.3,0,PhD,Divorced,2014-09-02,1965,1,1,6,16,0,3,0,0,1,1,1,0,2,0,0,0,0,0,0,0,2
323,PostGrad Degree,Single,53,522,1,64325.0,1307,18,72.6,7,27.8,0,PhD,Divorced,2013-07-02,1961,0,1,41,731,60,353,78,12,73,5,10,3,5,0,0,0,0,0,0,0,1
324,Undergrad Degree,Single,61,400,1,40464.0,630,18,35.0,8,33.3,0,Graduation,Single,2013-11-01,1953,0,1,78,424,17,118,7,23,41,6,8,2,8,0,0,0,0,0,0,0,3
325,Undergrad Degree,Relationship,57,578,0,62187.0,1283,17,75.5,3,5.9,0,Graduation,Married,2013-05-07,1957,0,0,49,792,0,275,45,45,126,1,4,8,5,0,0,0,0,0,0,0,1
326,PostGrad Degree,Single,38,667,1,14849.0,65,6,10.8,8,50.0,0,PhD,Divorced,2013-02-07,1976,1,0,39,21,2,28,3,2,9,3,2,0,4,0,0,0,0,0,0,0,0
327,Undergrad Degree,Relationship,30,513,1,27255.0,37,4,9.2,7,25.0,0,Graduation,Married,2013-07-11,1984,1,0,3,22,1,11,0,1,2,1,1,0,3,0,0,0,0,0,0,0,0
328,PostGrad Degree,Relationship,64,457,3,54432.0,38,4,9.5,4,25.0,0,PhD,Married,2013-09-05,1950,2,1,37,33,0,5,0,0,0,1,1,0,3,0,0,0,0,0,0,0,2
329,PostGrad Degree,Single,28,661,1,29999.0,160,8,20.0,8,50.0,0,PhD,Single,2013-02-13,1986,1,0,22,68,7,59,10,5,11,4,3,1,4,0,0,0,0,0,0,0,0
330,Undergrad Degree,Single,31,599,1,24072.0,23,3,7.7,8,33.3,0,Graduation,Single,2013-04-16,1983,1,0,79,9,1,6,3,0,4,1,1,0,2,0,0,0,0,0,0,0,0
331,PostGrad Degree,Single,25,392,0,33996.0,71,5,14.2,4,20.0,0,PhD,Single,2013-11-09,1989,0,0,46,40,2,15,8,0,6,1,1,1,3,0,0,0,0,0,0,0,2
332,PostGrad Degree,Relationship,58,642,1,66334.0,1161,17,68.3,5,11.8,1,PhD,Married,2013-03-04,1956,0,1,82,909,11,218,0,0,23,2,9,3,5,0,0,0,0,0,0,1,1
333,PostGrad Degree,Relationship,43,431,1,35178.0,59,4,14.8,7,25.0,2,Master,Married,2013-10-01,1971,1,0,10,23,1,13,2,2,18,1,1,1,2,1,0,0,0,0,0,1,2
334,Undergrad Degree,Relationship,31,524,1,22010.0,33,5,6.6,8,40.0,0,Graduation,Together,2013-06-30,1983,1,0,51,11,2,9,3,0,8,2,2,0,3,0,0,0,0,0,0,0,0
335,Undergrad Degree,Single,54,727,2,62204.0,946,21,45.0,3,4.8,0,Graduation,Divorced,2012-12-09,1960,0,2,38,317,46,247,151,46,139,1,4,5,12,0,0,0,0,0,0,0,3
336,Undergrad Degree,Single,46,907,0,75693.0,1442,21,68.7,4,4.8,4,Graduation,Divorced,2012-06-12,1968,0,0,10,797,153,293,72,97,30,1,11,4,6,0,1,1,1,0,0,1,1
337,Undergrad Degree,Relationship,42,725,1,30675.0,62,4,15.5,8,25.0,0,Graduation,Married,2012-12-11,1972,1,0,14,10,2,16,11,2,21,1,1,0,3,0,0,0,0,0,0,0,0
338,Undergrad Degree,Relationship,49,643,0,83003.0,1674,21,79.7,3,4.8,2,Graduation,Together,2013-03-03,1965,0,0,18,856,61,570,40,25,122,1,7,6,8,0,0,1,0,0,0,1,1
339,PostGrad Degree,Relationship,115,436,0,83532.0,1853,14,132.4,1,7.1,1,PhD,Together,2013-09-26,1899,0,0,36,755,144,562,104,64,224,1,4,6,4,0,0,1,0,0,0,0,1
340,Undergrad Degree,Single,26,789,0,68655.0,1538,20,76.9,3,5.0,0,Graduation,Single,2012-10-08,1988,0,0,95,456,19,832,75,118,38,1,4,5,11,0,0,0,0,0,0,0,1
341,Undergrad Degree,Single,28,512,0,41411.0,139,7,19.9,6,14.3,0,Graduation,Divorced,2013-07-12,1986,0,0,11,37,32,38,11,3,18,1,2,1,4,0,0,0,0,0,0,0,0
342,PostGrad Degree,Relationship,45,743,1,55212.0,1182,17,69.5,8,17.6,2,PhD,Married,2012-11-23,1969,0,1,65,1103,0,45,0,0,34,3,4,2,11,0,1,0,0,1,0,0,1
343,PostGrad Degree,Relationship,64,541,1,59292.0,507,16,31.7,3,12.5,0,PhD,Together,2013-06-13,1950,0,1,71,378,14,68,19,14,14,2,3,5,8,0,0,0,0,0,0,0,3
344,Undergrad Degree,Relationship,41,478,1,27190.0,18,3,6.0,8,33.3,2,Basic,Together,2013-08-15,1973,1,0,13,1,6,7,0,1,3,1,1,0,2,1,0,0,0,0,0,1,2
345,Undergrad Degree,Single,62,421,0,82623.0,940,15,62.7,1,6.7,0,Graduation,Divorced,2013-10-11,1952,0,0,58,204,34,204,172,153,173,1,2,9,4,0,0,0,0,0,0,0,3
346,Undergrad Degree,Relationship,49,531,2,44300.0,42,4,10.5,6,50.0,0,Graduation,Married,2013-06-23,1965,1,1,65,30,0,9,0,0,3,2,1,0,3,0,0,0,0,0,0,0,0
347,Undergrad Degree,Single,44,173,0,84835.0,1190,14,85.0,1,7.1,1,Graduation,Divorced,2014-06-16,1970,0,0,0,189,104,379,111,189,218,1,4,4,6,0,0,0,0,0,0,1,1
348,Undergrad Degree,Single,43,711,2,30372.0,44,5,8.8,7,60.0,0,Graduation,Widow,2012-12-25,1971,1,1,33,15,0,12,7,3,7,3,2,0,3,0,0,0,0,0,0,0,0
349,PostGrad Degree,Relationship,38,280,1,33181.0,16,3,5.3,6,33.3,1,Master,Married,2014-03-01,1976,1,0,90,9,0,3,0,0,4,1,1,0,2,1,0,0,0,0,0,0,2
350,Undergrad Degree,Relationship,57,354,1,71113.0,835,22,38.0,4,18.2,0,Graduation,Married,2013-12-17,1957,0,1,95,495,33,255,11,33,8,4,6,7,9,0,0,0,0,0,0,0,3
351,Undergrad Degree,Relationship,28,431,1,71952.0,1443,20,72.2,4,10.0,2,Graduation,Married,2013-10-01,1986,1,0,93,656,80,455,52,107,93,2,8,4,8,1,0,1,0,0,0,0,1
352,PostGrad Degree,Single,48,404,0,69759.0,1029,15,68.6,3,20.0,1,PhD,Single,2013-10-28,1966,0,0,38,452,20,514,13,30,0,3,4,6,5,0,0,0,0,0,0,1,1
353,Undergrad Degree,Relationship,40,770,0,72099.0,1188,17,69.9,1,5.9,0,Graduation,Married,2012-10-27,1974,0,0,18,546,91,410,119,0,22,1,3,4,10,0,0,0,0,0,0,0,1
354,PostGrad Degree,Single,38,714,1,60000.0,1277,19,67.2,6,26.3,0,PhD,Single,2012-12-22,1976,0,1,57,1048,0,217,0,0,12,5,11,3,5,0,0,0,0,0,0,0,1
355,Undergrad Degree,Single,36,372,2,38643.0,49,5,9.8,7,40.0,0,Graduation,Single,2013-11-29,1978,1,1,45,22,2,14,0,1,10,2,2,0,3,0,0,0,0,0,1,0,2
356,Undergrad Degree,Relationship,59,396,1,50737.0,99,6,16.5,6,16.7,1,Graduation,Married,2013-11-05,1955,0,1,61,78,0,11,0,0,10,1,2,0,4,0,1,0,0,0,0,0,2
357,PostGrad Degree,Relationship,45,724,0,68462.0,1670,14,119.3,1,7.1,0,PhD,Married,2012-12-12,1969,0,0,6,561,64,785,84,128,48,1,3,3,8,0,0,0,0,0,0,0,1
358,PostGrad Degree,Relationship,71,473,0,65073.0,900,13,69.2,2,7.7,0,Master,Married,2013-08-20,1943,0,0,65,629,17,177,69,0,8,1,5,3,5,0,0,0,0,0,1,0,1
359,PostGrad Degree,Relationship,66,483,2,46681.0,425,14,30.4,5,14.3,0,PhD,Together,2013-08-10,1948,0,2,52,269,15,69,15,19,38,2,4,6,4,0,0,0,0,0,0,0,3
360,Undergrad Degree,Relationship,57,799,0,78618.0,2153,21,102.5,2,4.8,1,Graduation,Married,2012-09-28,1957,0,0,87,736,163,818,212,163,61,1,4,7,10,0,1,0,0,0,0,0,1
361,PostGrad Degree,Single,45,259,1,62187.0,636,18,35.3,4,16.7,0,PhD,Widow,2014-03-22,1969,0,1,38,512,0,83,0,0,41,3,6,2,10,0,0,0,0,0,0,0,3
362,Undergrad Degree,Relationship,36,285,2,28442.0,57,7,8.1,4,42.9,0,Graduation,Married,2014-02-24,1978,2,0,53,19,3,10,11,8,6,3,2,1,4,0,0,0,0,0,0,0,2
363,PostGrad Degree,Relationship,36,743,1,37717.0,25,3,8.3,9,33.3,0,PhD,Married,2012-11-23,1978,1,0,31,9,0,6,4,1,5,1,1,0,2,0,0,0,0,0,0,0,0
364,Undergrad Degree,Relationship,47,708,2,51479.0,494,15,32.9,7,46.7,0,Graduation,Married,2012-12-28,1967,1,1,67,247,8,160,6,8,65,7,6,3,6,0,0,0,0,0,0,0,3
365,Undergrad Degree,Single,45,837,1,54803.0,693,17,40.8,4,11.8,0,Graduation,Single,2012-08-21,1969,0,1,65,404,0,92,28,27,142,2,6,2,9,0,0,0,0,0,0,0,3
366,Undergrad Degree,Relationship,54,568,0,79530.0,1348,25,53.9,2,4.0,0,Graduation,Married,2013-05-17,1960,0,0,64,333,0,815,129,42,29,1,4,10,11,0,0,0,0,0,0,0,3
367,Undergrad Degree,Single,38,630,1,31615.0,51,5,10.2,7,40.0,0,Graduation,Divorced,2013-03-16,1976,1,0,82,2,3,20,6,11,9,2,2,0,3,0,0,0,0,0,0,0,0
368,Undergrad Degree,Relationship,52,749,0,72025.0,1932,15,128.8,3,6.7,0,Graduation,Together,2012-11-17,1962,0,0,27,833,33,549,151,133,233,1,4,3,8,0,0,0,0,0,0,0,1
369,PostGrad Degree,Single,39,1059,1,52614.0,990,14,70.7,8,14.3,0,PhD,Single,2012-01-12,1975,0,1,63,789,0,142,12,9,38,2,2,4,8,0,0,0,0,0,0,0,1
370,PostGrad Degree,Relationship,30,228,1,35684.0,30,4,7.5,6,25.0,0,2n Cycle,Married,2014-04-22,1984,1,0,66,10,4,7,0,6,3,1,1,0,3,0,0,0,0,0,0,0,2
371,Undergrad Degree,Relationship,39,769,2,48178.0,254,10,25.4,8,60.0,0,Graduation,Married,2012-10-28,1975,1,1,69,159,4,45,6,2,38,6,5,1,4,0,0,0,0,0,0,0,0
372,PostGrad Degree,Single,44,464,1,29548.0,29,4,7.2,4,25.0,1,Master,Single,2013-08-29,1970,1,0,52,7,1,6,3,1,11,1,1,1,2,1,0,0,0,0,0,0,2
373,Undergrad Degree,Single,48,755,1,63810.0,1371,19,72.2,8,21.1,1,Graduation,Single,2012-11-11,1966,0,1,45,977,12,253,16,12,101,4,4,3,12,0,1,0,0,0,0,0,1
374,PostGrad Degree,Single,42,532,2,38578.0,73,6,12.2,8,50.0,1,PhD,Single,2013-06-22,1972,1,1,2,38,4,22,3,3,3,3,3,0,3,0,0,0,0,0,0,1,0
375,PostGrad Degree,Single,39,840,2,46098.0,120,7,17.1,8,57.1,0,Master,Single,2012-08-18,1975,1,1,86,57,0,27,0,0,36,4,3,2,2,0,0,0,0,0,0,0,0
376,Undergrad Degree,Single,44,628,0,22585.0,81,4,20.2,9,25.0,2,Graduation,Single,2013-03-18,1970,0,0,23,3,9,15,13,2,39,1,1,1,2,1,0,0,0,0,0,1,0
377,Undergrad Degree,Single,25,706,1,30279.0,37,4,9.2,8,25.0,0,Graduation,Single,2012-12-30,1989,1,0,13,10,4,14,4,4,1,1,1,0,3,0,0,0,0,0,0,0,0
378,PostGrad Degree,Relationship,53,664,1,66426.0,1377,18,76.5,6,11.1,0,PhD,Together,2013-02-10,1961,0,1,14,1043,24,97,32,24,157,2,3,5,10,0,0,0,0,0,0,0,1
379,Undergrad Degree,Single,45,540,1,30822.0,51,4,12.8,7,25.0,0,Graduation,Single,2013-06-14,1969,1,0,92,3,9,13,2,12,12,1,1,0,3,0,0,0,0,0,0,0,0
380,PostGrad Degree,Relationship,45,492,2,33581.0,17,3,5.7,8,33.3,0,PhD,Married,2013-08-01,1969,2,0,38,11,0,5,0,0,1,1,1,0,2,0,0,0,0,0,0,0,2
381,Undergrad Degree,Relationship,29,387,1,19986.0,22,3,7.3,7,33.3,0,Graduation,Married,2013-11-14,1985,1,0,74,3,6,5,0,2,6,1,0,0,3,0,0,0,0,0,0,0,2
382,Undergrad Degree,Single,60,724,0,27421.0,324,11,29.5,7,27.3,0,Graduation,Widow,2012-12-12,1954,0,0,14,43,12,96,78,40,55,3,4,1,6,0,0,0,0,0,0,0,0
383,PostGrad Degree,Relationship,41,836,3,35688.0,211,9,23.4,8,77.8,0,2n Cycle,Married,2012-08-22,1973,2,1,94,73,3,90,12,1,32,7,4,1,4,0,0,0,0,0,0,0,0
384,PostGrad Degree,Single,33,251,1,36143.0,19,3,6.3,3,33.3,0,Master,Single,2014-03-30,1981,1,0,33,12,0,1,0,0,6,1,0,1,2,0,0,0,0,0,0,0,2
385,Undergrad Degree,Single,43,570,1,10245.0,41,5,8.2,5,60.0,0,Graduation,Single,2013-05-15,1971,1,0,32,4,7,7,6,4,13,3,1,2,2,0,0,0,0,0,0,0,0
386,PostGrad Degree,Relationship,46,416,1,43795.0,492,14,35.1,7,21.4,2,Master,Together,2013-10-16,1968,0,1,11,314,11,53,4,3,107,3,7,3,4,0,1,0,0,0,0,1,3
387,Undergrad Degree,Relationship,54,940,1,63381.0,1005,22,45.7,2,18.2,0,Graduation,Together,2012-05-10,1960,0,1,78,571,50,142,33,50,159,4,4,5,13,0,0,0,0,0,0,0,3
388,Undergrad Degree,Relationship,65,828,1,38823.0,114,6,19.0,6,16.7,0,Graduation,Together,2012-08-30,1949,0,1,56,70,0,11,2,8,23,1,2,1,3,0,0,0,0,0,0,0,0
389,PostGrad Degree,Single,46,488,2,83664.0,1173,16,73.3,5,18.8,0,PhD,Divorced,2013-08-05,1968,1,1,57,866,21,151,28,21,86,3,2,2,12,0,0,0,0,0,0,0,1
390,Undergrad Degree,Relationship,35,280,0,90300.0,1738,19,91.5,1,0.0,1,Graduation,Together,2014-03-01,1979,0,0,7,594,134,786,33,134,57,0,5,6,8,0,0,1,0,0,0,0,1
391,PostGrad Degree,Relationship,35,450,1,62499.0,222,10,22.2,4,20.0,0,Master,Together,2013-09-12,1979,1,0,0,140,4,61,0,13,4,2,3,1,6,0,0,0,0,0,0,0,2
392,Undergrad Degree,Single,21,245,0,74293.0,1127,15,75.1,2,6.7,0,Graduation,Single,2014-04-05,1993,0,0,66,375,152,335,93,91,81,1,5,4,6,0,0,0,0,0,0,0,1
393,PostGrad Degree,Relationship,68,597,0,51012.0,209,9,23.2,6,11.1,0,PhD,Married,2013-04-18,1946,0,0,86,102,9,63,2,9,24,1,4,1,4,0,0,0,0,0,0,0,0
394,PostGrad Degree,Relationship,46,284,1,70777.0,787,20,39.4,3,15.0,0,Master,Married,2014-02-25,1968,0,1,80,554,35,113,0,7,78,3,5,3,12,0,0,0,0,0,0,0,3
395,PostGrad Degree,Relationship,23,544,0,68682.0,1598,23,69.5,2,4.3,0,PhD,Together,2013-06-10,1991,0,0,56,919,0,505,99,30,45,1,4,9,10,0,0,0,0,0,0,0,1
396,Undergrad Degree,Relationship,43,812,2,43824.0,186,8,23.2,8,50.0,0,Graduation,Married,2012-09-15,1971,1,1,18,96,1,42,12,3,32,4,3,1,4,0,0,0,0,0,0,0,0
397,Undergrad Degree,Relationship,30,827,1,15345.0,47,4,11.8,8,50.0,1,Graduation,Together,2012-08-31,1984,1,0,51,5,2,16,3,2,19,2,1,1,2,0,0,0,0,0,0,1,0
398,Undergrad Degree,Single,27,712,1,23442.0,27,4,6.8,7,25.0,0,Graduation,Single,2012-12-24,1987,1,0,71,2,0,6,8,6,5,1,1,0,3,0,0,0,0,0,0,0,0
399,PostGrad Degree,Relationship,34,816,1,14515.0,96,7,13.7,7,57.1,1,2n Cycle,Together,2012-09-11,1980,1,0,71,6,4,9,6,36,35,4,2,2,3,0,0,0,0,0,0,1,0
400,PostGrad Degree,Single,58,623,2,31395.0,64,6,10.7,6,66.7,0,2n Cycle,Divorced,2013-03-23,1956,1,1,80,23,1,25,0,8,7,4,2,1,3,0,0,0,0,0,0,0,0
401,Undergrad Degree,Relationship,49,800,0,75276.0,1040,22,47.3,5,4.5,0,Graduation,Together,2012-09-27,1965,0,0,2,610,105,125,137,42,21,1,9,4,9,0,0,0,0,0,0,0,3
402,Undergrad Degree,Single,40,478,2,42373.0,163,8,20.4,5,62.5,0,Graduation,Single,2013-08-15,1974,1,1,83,67,5,61,3,8,19,5,2,1,5,0,0,0,0,0,0,0,2
403,Undergrad Degree,Relationship,54,398,0,30507.0,343,10,34.3,7,10.0,0,Graduation,Together,2013-11-03,1960,0,0,29,65,36,74,38,20,110,1,5,1,4,0,0,0,0,0,0,0,2
404,PostGrad Degree,Single,59,410,3,55521.0,446,15,29.7,7,60.0,2,PhD,Single,2013-10-22,1955,1,2,11,416,0,26,0,0,4,9,6,3,6,0,1,0,0,0,0,1,3
405,Undergrad Degree,Relationship,49,91,2,48006.0,41,4,10.2,6,25.0,0,Graduation,Married,2014-09-06,1965,1,1,55,23,0,11,3,2,2,1,1,0,3,0,0,0,0,0,0,0,2
406,PostGrad Degree,Single,42,828,1,27213.0,70,6,11.7,8,50.0,1,PhD,Single,2012-08-30,1972,1,0,19,19,3,26,10,9,3,3,2,0,4,0,0,0,0,0,0,1,0
407,PostGrad Degree,Single,43,190,2,65808.0,272,11,24.7,6,27.3,0,PhD,Divorced,2014-05-30,1971,1,1,1,155,7,80,13,7,10,3,5,1,5,0,0,0,0,0,0,0,2
408,PostGrad Degree,Relationship,40,548,1,30351.0,46,5,9.2,9,20.0,0,PhD,Together,2013-06-06,1974,1,0,19,14,0,24,3,3,2,1,3,0,2,0,0,0,0,0,0,0,0
409,Undergrad Degree,Relationship,51,780,2,50437.0,490,16,30.6,7,18.8,0,Graduation,Married,2012-10-17,1963,0,2,28,370,9,92,6,9,4,3,7,1,8,0,0,0,0,0,0,0,3
410,PostGrad Degree,Single,32,749,1,23616.0,79,6,13.2,8,33.3,1,2n Cycle,Single,2012-11-17,1982,1,0,76,4,22,11,3,7,32,2,3,0,3,0,0,0,0,0,0,1,0
411,Undergrad Degree,Relationship,38,816,1,53858.0,915,13,70.4,4,30.8,0,Graduation,Married,2012-09-11,1976,0,1,50,407,53,221,58,150,26,4,4,3,6,0,0,0,0,0,0,0,1
412,PostGrad Degree,Relationship,59,616,1,66465.0,1485,32,46.4,6,9.4,1,PhD,Married,2013-03-30,1955,0,1,1,1200,0,204,38,29,14,3,11,9,12,0,0,0,1,0,0,0,3
413,Undergrad Degree,Single,27,836,1,46923.0,369,13,28.4,7,23.1,0,Graduation,Single,2012-08-22,1987,1,0,90,85,44,54,102,78,6,3,5,1,7,0,0,0,0,0,0,0,0
414,Undergrad Degree,Relationship,52,682,1,75072.0,1073,17,63.1,3,11.8,0,Graduation,Together,2013-01-23,1962,0,1,83,583,34,309,0,22,125,2,5,4,8,0,0,0,0,0,0,0,3
415,PostGrad Degree,Relationship,71,250,0,75865.0,1242,18,69.0,1,5.6,0,PhD,Married,2014-03-31,1943,0,0,73,483,0,591,156,0,12,1,3,5,10,0,0,0,0,0,0,0,1
416,PostGrad Degree,Relationship,39,381,1,19789.0,78,6,13.0,5,50.0,1,2n Cycle,Together,2013-11-20,1975,1,0,24,2,5,9,28,6,28,3,2,1,3,1,0,0,0,0,0,0,2
417,Undergrad Degree,Relationship,20,295,0,80134.0,1378,20,68.9,5,5.0,4,Graduation,Together,2014-02-14,1994,0,0,11,966,26,282,52,26,26,1,2,7,11,0,1,1,1,1,0,0,1
418,Undergrad Degree,Single,33,652,0,91065.0,1474,25,59.0,3,4.0,3,Graduation,Single,2013-02-22,1981,0,0,33,822,114,108,179,137,114,1,7,9,9,0,0,1,1,0,0,1,1
419,PostGrad Degree,Relationship,43,582,2,49505.0,751,20,37.6,8,45.0,0,Master,Married,2013-05-03,1971,1,1,4,604,0,100,19,0,28,9,10,2,8,0,0,0,0,0,0,0,3
420,PostGrad Degree,Relationship,41,184,1,37401.0,48,5,9.6,7,40.0,0,PhD,Married,2014-06-05,1973,1,0,14,19,3,19,3,1,3,2,2,0,3,0,0,0,0,0,0,0,2
421,Undergrad Degree,Relationship,31,198,1,30096.0,45,5,9.0,6,20.0,0,Graduation,Married,2014-05-22,1983,1,0,30,5,3,11,12,5,9,1,2,0,3,0,0,0,0,0,0,0,2
422,PostGrad Degree,Relationship,32,214,1,18492.0,10,3,3.3,8,33.3,0,Master,Together,2014-05-06,1982,1,0,75,2,2,2,2,1,1,1,1,0,2,0,0,0,0,0,0,0,2
423,PostGrad Degree,Relationship,40,609,0,82584.0,1435,15,95.7,1,6.7,3,Master,Married,2013-04-06,1974,0,0,26,1076,68,103,29,91,68,1,3,4,8,0,1,1,0,0,0,1,1
424,PostGrad Degree,Relationship,73,602,0,93027.0,2119,22,96.3,2,0.0,1,PhD,Married,2013-04-13,1941,0,0,77,1285,42,716,55,0,21,0,7,10,5,0,0,1,0,0,0,0,1
425,Undergrad Degree,Relationship,61,603,3,48686.0,20,3,6.7,8,33.3,0,Graduation,Married,2013-04-12,1953,1,2,8,10,0,7,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0
426,Undergrad Degree,Relationship,28,226,0,92910.0,1795,26,69.0,1,3.8,3,Graduation,Married,2014-04-24,1986,0,0,42,551,137,792,179,103,33,1,6,7,13,0,1,1,1,0,0,0,1
427,Undergrad Degree,Relationship,25,216,1,75433.0,1188,17,69.9,6,11.8,2,Graduation,Married,2014-05-04,1989,1,0,28,800,0,297,0,34,57,2,2,5,10,0,1,0,1,0,0,0,1
428,PostGrad Degree,Relationship,25,245,1,10404.0,43,5,8.6,5,40.0,0,2n Cycle,Together,2014-04-05,1989,1,0,52,2,2,11,10,6,12,2,1,0,4,0,0,0,0,0,0,0,2
429,Undergrad Degree,Relationship,46,590,1,61314.0,1008,22,45.8,3,9.1,0,Graduation,Married,2013-04-25,1968,0,1,1,378,0,189,97,172,172,2,5,5,12,0,0,0,0,0,0,0,3
430,PostGrad Degree,Single,53,457,0,84865.0,1688,15,112.5,4,6.7,5,PhD,Single,2013-09-05,1961,0,0,1,1248,16,349,43,16,16,1,2,4,9,0,1,1,1,1,0,1,1
431,Undergrad Degree,Relationship,25,768,1,42387.0,684,16,42.8,8,31.2,0,Graduation,Married,2012-10-29,1989,1,0,42,235,0,235,19,4,191,5,8,1,7,0,0,0,0,0,0,0,3
432,PostGrad Degree,Relationship,47,682,2,67309.0,1082,24,45.1,7,62.5,0,2n Cycle,Together,2013-01-23,1967,1,1,76,515,47,181,149,95,95,15,9,6,9,0,0,0,0,0,0,0,3
433,Undergrad Degree,Relationship,50,376,1,75236.0,1068,24,44.5,4,4.2,0,Graduation,Married,2013-11-25,1964,0,1,27,438,66,400,12,38,114,1,8,3,13,0,0,0,0,0,0,0,3
434,Undergrad Degree,Single,44,307,1,30015.0,57,5,11.4,5,40.0,0,Graduation,Single,2014-02-02,1970,1,0,28,25,0,22,2,3,5,2,1,0,4,0,0,0,0,0,0,0,2
435,PostGrad Degree,Relationship,58,533,1,50943.0,46,4,11.5,5,25.0,0,Master,Together,2013-06-21,1956,0,1,49,31,0,7,2,0,6,1,1,0,3,0,0,0,0,0,0,0,0
436,Undergrad Degree,Single,48,350,1,67272.0,733,20,36.6,5,15.0,0,Graduation,Divorced,2013-12-21,1966,0,1,12,357,35,271,28,28,14,3,6,2,12,0,0,0,0,0,0,0,3
437,PostGrad Degree,Single,65,515,1,51529.0,467,15,31.1,8,13.3,0,Master,Widow,2013-07-09,1949,0,1,14,400,4,35,6,0,22,2,9,1,5,0,0,0,0,0,0,0,3
438,PostGrad Degree,Relationship,43,471,1,32011.0,122,7,17.4,7,42.9,0,PhD,Married,2013-08-22,1971,1,0,89,99,0,15,2,1,5,3,2,1,4,0,0,0,0,0,0,0,2
439,PostGrad Degree,Relationship,28,522,1,7500.0,36,5,7.2,8,40.0,0,2n Cycle,Married,2013-07-02,1986,1,0,96,1,11,5,4,6,9,2,2,0,3,0,0,0,0,0,0,0,0
